CustomerID,LastPurchase,Frequency,Monetary,AvgAmount,Recency,AvgInterval,Last3MonthsPurchases,ChurnFlag
C0027,2025-10-27,8,93100.0,11637.5,5,41.57142857142857,4.0,0
C0028,2025-05-09,3,34700.0,11566.666666666666,176,40.0,0.0,1
C0029,2025-10-12,6,70200.0,11700.0,20,46.4,2.0,0
C0030,2025-07-16,3,30500.0,10166.666666666666,108,14.5,0.0,1
C0031,2025-09-20,6,66800.0,11133.333333333334,42,42.4,2.0,0
C0032,2025-02-07,2,18000.0,9000.0,267,28.0,0.0,1
C0033,2025-10-10,5,75400.0,15080.0,22,60.0,2.0,0
C0034,2025-10-03,9,96900.0,10766.666666666666,29,28.25,3.0,0
C0035,2025-04-04,1,12800.0,12800.0,211,41.833333333333336,0.0,1
C0036,2025-10-29,6,36200.0,6033.333333333333,3,59.6,4.0,0
C0037,2025-09-21,7,75800.0,10828.57142857143,41,40.166666666666664,2.0,0
C0038,2025-10-04,6,50200.0,8366.666666666666,28,28.0,3.0,0
C0039,2025-10-09,5,49500.0,9900.0,23,55.25,2.0,0
C0040,2025-10-03,4,34600.0,8650.0,29,74.0,1.0,0
C0041,2025-09-28,6,57100.0,9516.666666666666,34,52.0,1.0,0
C0042,2025-07-26,6,76800.0,12800.0,98,28.4,0.0,1
C0043,2025-10-14,10,112000.0,11200.0,18,30.77777777777778,2.0,0
C0044,2025-10-24,5,54300.0,10860.0,8,47.5,2.0,0
C0045,2025-09-24,7,84700.0,12100.0,38,34.833333333333336,2.0,0
C0046,2025-09-25,4,39400.0,9850.0,37,42.666666666666664,3.0,0
C0047,2025-09-27,10,131900.0,13190.0,35,28.77777777777778,5.0,0
C0048,2025-08-18,6,67100.0,11183.333333333334,75,36.6,1.0,0
C0049,2025-10-13,6,65000.0,10833.333333333334,19,53.6,2.0,0
C0050,2025-08-11,3,31100.0,10366.666666666666,82,79.0,1.0,0
C0051,2025-10-19,7,74100.0,10585.714285714286,13,45.333333333333336,2.0,0
C0052,2025-10-12,5,45700.0,9140.0,20,62.25,3.0,0
C0053,2025-09-06,5,40100.0,8020.0,56,57.0,2.0,0
C0054,2025-10-29,4,47700.0,11925.0,3,88.0,3.0,0
C0055,2025-10-12,4,34100.0,8525.0,20,60.666666666666664,2.0,0
C0056,2025-10-20,11,113100.0,10281.818181818182,12,21.8,3.0,0
C0057,2025-10-28,5,56600.0,11320.0,4,68.0,2.0,0
C0058,2025-05-26,2,5400.0,2700.0,159,73.0,0.0,1
C0059,2025-08-17,4,58800.0,14700.0,76,43.666666666666664,1.0,0
C0060,2025-10-08,7,72100.0,10300.0,24,40.833333333333336,1.0,0
C0061,2025-08-15,4,55700.0,13925.0,78,32.666666666666664,1.0,0
C0062,2025-10-20,8,90400.0,11300.0,12,30.0,1.0,0
C0063,2025-08-21,3,24900.0,8300.0,72,78.5,2.0,0
C0064,2025-05-05,3,35200.0,11733.333333333334,180,52.0,0.0,1
C0065,2025-10-23,5,49300.0,9860.0,9,72.75,2.0,0
C0066,2025-09-22,3,22700.0,7566.666666666667,40,75.5,2.0,0
C0067,2025-08-24,2,15100.0,7550.0,69,14.0,2.0,0
C0068,2025-09-07,8,103600.0,12950.0,55,30.714285714285715,4.0,0
C0069,2025-10-04,8,72300.0,9037.5,28,35.714285714285715,1.0,0
C0070,2025-09-14,4,29000.0,7250.0,48,77.66666666666667,1.0,0
C0071,2025-10-20,4,34200.0,8550.0,12,77.33333333333333,2.0,0
C0072,2025-10-21,6,54300.0,9050.0,11,48.6,3.0,0
C0073,2025-09-14,7,58100.0,8300.0,48,39.833333333333336,3.0,0
C0074,2025-10-06,4,49200.0,12300.0,26,64.66666666666667,2.0,0
C0075,2025-09-23,7,66900.0,9557.142857142857,39,42.333333333333336,2.0,0
C0076,2025-09-12,5,59700.0,11940.0,50,63.0,2.0,0
C0077,2025-10-08,7,61000.0,8714.285714285714,24,27.5,3.0,0
C0078,2025-06-26,4,40400.0,10100.0,128,57.666666666666664,0.0,1
C0079,2025-10-03,3,31700.0,10566.666666666666,29,136.0,1.0,0
C0080,2025-10-11,5,45200.0,9040.0,21,53.5,1.0,0
C0081,2025-10-22,8,70800.0,8850.0,10,29.0,4.0,0
C0082,2025-10-30,7,99100.0,14157.142857142857,2,43.0,4.0,0
C0083,2025-09-07,9,110800.0,12311.111111111111,55,30.625,3.0,0
C0084,2025-07-23,4,32700.0,8175.0,101,50.333333333333336,0.0,1
C0085,2025-10-18,7,51900.0,7414.285714285715,14,44.5,2.0,0
C0086,2025-10-14,4,43900.0,10975.0,18,64.66666666666667,1.0,0
C0087,2025-09-11,5,78100.0,15620.0,51,38.75,2.0,0
C0088,2025-09-16,5,74100.0,14820.0,46,63.5,2.0,0
C0089,2025-08-19,7,60400.0,8628.57142857143,74,36.166666666666664,1.0,0
C0090,2025-09-04,4,41600.0,10400.0,58,63.0,1.0,0
C0091,2025-10-07,6,63700.0,10616.666666666666,25,55.6,2.0,0
C0092,2025-09-06,7,60500.0,8642.857142857143,56,38.5,2.0,0
C0093,2025-10-26,8,87400.0,10925.0,6,42.57142857142857,1.0,0
C0094,2025-10-02,6,89300.0,14883.333333333334,30,47.4,2.0,0
C0095,2025-08-25,5,64000.0,12800.0,68,56.25,2.0,0
C0096,2025-10-28,3,52500.0,17500.0,4,27.5,3.0,0
C0097,2025-08-01,6,64000.0,10666.666666666666,92,41.6,0.0,1
C0098,2025-10-03,3,27800.0,9266.666666666666,29,129.0,1.0,0
C0099,2025-09-24,9,59700.0,6633.333333333333,38,26.625,5.0,0
C0100,2025-10-28,8,99300.0,12412.5,4,33.57142857142857,2.0,0
C0101,2025-07-29,6,70200.0,11700.0,95,31.6,0.0,1
C0102,2025-09-11,7,56400.0,8057.142857142857,51,42.0,3.0,0
C0103,2025-09-09,6,69500.0,11583.333333333334,53,49.0,2.0,0
C0104,2025-10-11,6,58300.0,9716.666666666666,21,34.6,3.0,0
C0105,2025-08-25,10,133800.0,13380.0,68,26.11111111111111,2.0,0
C0106,2025-07-11,2,10600.0,5300.0,113,99.0,0.0,1
C0107,2025-10-04,6,64400.0,10733.333333333334,28,51.0,3.0,0
C0108,2025-10-05,7,95600.0,13657.142857142857,27,41.833333333333336,2.0,0
C0109,2025-07-10,5,40500.0,8100.0,114,32.5,0.0,1
C0110,2025-10-29,7,70000.0,10000.0,3,35.666666666666664,4.0,0
C0111,2025-09-23,4,37200.0,9300.0,39,86.33333333333333,1.0,0
C0112,2025-10-03,3,42100.0,14033.333333333334,29,30.0,3.0,0
C0113,2025-10-27,4,40900.0,10225.0,5,73.0,2.0,0
C0114,2025-10-04,9,82000.0,9111.111111111111,28,34.0,5.0,0
C0115,2025-08-15,8,91800.0,11475.0,78,26.0,1.0,0
C0116,2025-10-28,8,60400.0,7550.0,4,40.42857142857143,3.0,0
C0117,2025-09-05,10,106800.0,10680.0,57,23.333333333333332,4.0,0
C0118,2025-09-16,6,85300.0,14216.666666666666,46,45.8,1.0,0
C0119,2025-09-28,9,97800.0,10866.666666666666,34,31.0,3.0,0
C0120,2025-09-18,6,56700.0,9450.0,44,50.6,2.0,0
C0121,2025-10-16,8,62400.0,7800.0,16,35.42857142857143,4.0,0
C0122,2025-09-07,6,55400.0,9233.333333333334,55,42.6,1.0,0
C0123,2025-10-30,3,36200.0,12066.666666666666,2,100.0,2.0,0
C0124,2025-10-21,8,95700.0,11962.5,11,39.857142857142854,3.0,0
C0125,2025-08-26,5,60200.0,12040.0,67,45.25,1.0,0
C0126,2025-10-29,5,73000.0,14600.0,3,60.75,2.0,0
C0127,2025-07-31,3,44200.0,14733.333333333334,93,49.5,0.0,1
C0128,2025-10-20,7,41200.0,5885.714285714285,12,42.5,3.0,0
C0129,2025-10-09,8,76700.0,9587.5,23,35.714285714285715,3.0,0
C0130,2025-06-25,4,53500.0,13375.0,129,45.333333333333336,0.0,1
C0131,2025-10-10,7,77000.0,11000.0,22,27.666666666666668,3.0,0
C0132,2025-10-25,7,76300.0,10900.0,7,47.5,1.0,0
C0133,2025-05-24,3,29100.0,9700.0,161,49.0,0.0,1
C0134,2025-08-15,5,41100.0,8220.0,78,46.0,1.0,0
C0135,2025-08-20,4,49700.0,12425.0,73,71.33333333333333,1.0,0
C0136,2025-10-14,6,76700.0,12783.333333333334,18,37.6,2.0,0
C0137,2025-10-23,11,107700.0,9790.90909090909,9,28.5,5.0,0
C0138,2025-10-17,6,60400.0,10066.666666666666,15,54.4,2.0,0
C0139,2025-09-10,7,75400.0,10771.42857142857,52,35.333333333333336,2.0,0
C0140,2025-09-16,9,50600.0,5622.222222222223,46,30.375,3.0,0
C0141,2025-10-25,8,69600.0,8700.0,7,36.0,1.0,0
C0142,2025-10-14,4,31500.0,7875.0,18,85.0,1.0,0
C0143,2025-09-02,8,105100.0,13137.5,60,30.142857142857142,3.0,0
C0144,2025-08-24,5,53600.0,10720.0,69,53.0,1.0,0
C0145,2025-10-17,6,79300.0,13216.666666666666,15,39.4,3.0,0
C0146,2025-10-19,4,59000.0,14750.0,13,52.0,2.0,0
C0147,2025-09-05,4,37300.0,9325.0,57,58.666666666666664,1.0,0
C0148,2025-07-17,7,49600.0,7085.714285714285,107,25.666666666666668,0.0,1
C0149,2025-05-09,2,15400.0,7700.0,176,34.0,0.0,1
C0150,2025-02-25,3,23700.0,7900.0,249,27.0,0.0,1
C0151,2025-10-03,4,43500.0,10875.0,29,83.0,1.0,0
C0152,2025-10-28,4,50600.0,12650.0,4,64.33333333333333,3.0,0
C0153,2025-09-25,4,54500.0,13625.0,37,80.0,1.0,0
C0154,2025-08-30,6,42100.0,7016.666666666667,63,47.0,1.0,0
C0155,2025-10-29,8,83300.0,10412.5,3,40.714285714285715,1.0,0
C0156,2025-10-27,11,136200.0,12381.818181818182,5,27.6,4.0,0
C0157,2025-09-03,9,77000.0,8555.555555555555,59,28.375,2.0,0
C0158,2025-09-27,8,62300.0,7787.5,35,31.428571428571427,1.0,0
C0159,2025-10-14,7,64800.0,9257.142857142857,18,44.0,2.0,0
C0160,2025-09-07,6,51100.0,8516.666666666666,55,44.4,4.0,0
C0161,2025-05-12,3,28600.0,9533.333333333334,173,58.5,0.0,1
C0162,2025-08-30,8,74300.0,9287.5,63,26.142857142857142,2.0,0
C0163,2025-10-30,11,100900.0,9172.727272727272,2,29.9,5.0,0
C0164,2025-08-09,6,65800.0,10966.666666666666,84,24.4,1.0,0
C0165,2025-04-27,4,52100.0,13025.0,188,38.0,0.0,1
C0166,2025-08-22,11,117200.0,10654.545454545454,71,21.7,5.0,0
C0167,2025-10-19,7,69900.0,9985.714285714286,13,19.5,5.0,0
C0168,2025-10-14,9,93000.0,10333.333333333334,18,32.0,5.0,0
C0169,2025-08-03,7,87200.0,12457.142857142857,90,32.833333333333336,1.0,0
C0170,2025-10-02,8,58000.0,7250.0,30,36.857142857142854,2.0,0
C0171,2025-10-24,5,49400.0,9880.0,8,40.5,3.0,0
C0172,2025-07-31,8,103700.0,12962.5,93,28.714285714285715,0.0,1
C0173,2025-10-23,7,96100.0,13728.57142857143,9,40.333333333333336,3.0,0
C0174,2025-07-29,5,72600.0,14520.0,95,44.0,0.0,1
C0175,2025-07-21,7,98100.0,14014.285714285714,103,32.5,0.0,1
C0176,2025-07-21,9,96300.0,10700.0,103,23.25,0.0,1
C0177,2025-09-26,4,52500.0,13125.0,36,79.0,2.0,0
C0178,2025-05-26,5,44300.0,8860.0,159,25.5,0.0,1
C0179,2025-10-23,3,14600.0,4866.666666666667,9,82.0,1.0,0
C0180,2025-10-25,6,58700.0,9783.333333333334,7,48.8,2.0,0
C0181,2025-09-27,8,74000.0,9250.0,35,30.714285714285715,3.0,0
C0182,2025-10-11,8,105200.0,13150.0,21,37.714285714285715,3.0,0
C0183,2025-08-23,5,46900.0,9380.0,70,32.5,2.0,0
C0184,2025-10-30,5,70200.0,14040.0,2,32.5,3.0,0
C0185,2025-08-27,5,36300.0,7260.0,66,55.25,2.0,0
C0186,2025-09-07,5,60800.0,12160.0,55,42.0,2.0,0
C0187,2025-07-06,6,41700.0,6950.0,118,34.4,0.0,1
C0188,2025-07-22,6,61000.0,10166.666666666666,102,32.2,0.0,1
C0189,2025-10-06,8,59200.0,7400.0,26,26.571428571428573,2.0,0
C0190,2025-10-17,8,88600.0,11075.0,15,37.42857142857143,3.0,0
C0191,2025-09-17,8,88800.0,11100.0,45,25.285714285714285,3.0,0
C0192,2025-09-07,4,27100.0,6775.0,55,66.0,1.0,0
C0193,2025-10-07,8,86600.0,10825.0,25,39.42857142857143,3.0,0
C0194,2025-10-25,5,52900.0,10580.0,7,67.75,1.0,0
C0195,2025-08-31,3,25000.0,8333.333333333334,62,97.0,1.0,0
C0196,2025-09-22,9,79700.0,8855.555555555555,40,29.5,4.0,0
C0197,2025-07-31,5,75100.0,15020.0,93,47.25,0.0,1
C0198,2025-09-28,4,33400.0,8350.0,34,48.333333333333336,2.0,0
C0199,2025-10-14,9,99000.0,11000.0,18,31.125,3.0,0
C0200,2025-10-21,6,52500.0,8750.0,11,55.8,4.0,0
C0201,2025-07-12,4,48500.0,12125.0,112,29.666666666666668,0.0,1
C0202,2025-10-08,10,87100.0,8710.0,24,30.88888888888889,3.0,0
C0203,2025-09-22,3,25400.0,8466.666666666666,40,122.5,2.0,0
C0204,2025-08-16,9,78400.0,8711.111111111111,77,21.625,2.0,0
C0205,2025-07-15,4,56800.0,14200.0,109,34.666666666666664,0.0,1
C0206,2025-10-30,9,99200.0,11022.222222222223,2,35.25,2.0,0
C0207,2025-10-15,3,25600.0,8533.333333333334,17,87.0,1.0,0
C0208,2025-10-03,3,32500.0,10833.333333333334,29,51.0,2.0,0
C0209,2025-10-23,10,66800.0,6680.0,9,32.0,6.0,0
C0210,2025-10-08,3,26400.0,8800.0,24,92.0,1.0,0
C0211,2025-10-24,8,100600.0,12575.0,8,38.0,4.0,0
C0212,2025-09-13,9,74300.0,8255.555555555555,49,31.375,1.0,0
C0213,2025-10-20,11,94000.0,8545.454545454546,12,27.8,4.0,0
C0214,2025-10-21,9,101400.0,11266.666666666666,11,31.875,2.0,0
C0215,2025-10-08,3,20200.0,6733.333333333333,24,138.5,2.0,0
C0216,2025-09-26,8,75700.0,9462.5,36,32.42857142857143,4.0,0
C0217,2025-10-14,6,81000.0,13500.0,18,32.4,3.0,0
C0218,2025-08-30,7,75100.0,10728.57142857143,63,39.666666666666664,2.0,0
C0219,2025-10-18,6,57100.0,9516.666666666666,14,55.0,2.0,0
C0220,2025-08-27,6,52400.0,8733.333333333334,66,42.6,1.0,0
C0221,2025-09-11,8,106300.0,13287.5,51,33.857142857142854,1.0,0
C0222,2025-10-20,5,25800.0,5160.0,12,70.25,2.0,0
C0223,2025-10-22,5,45900.0,9180.0,10,48.0,2.0,0
C0224,2025-09-20,3,24200.0,8066.666666666667,42,117.0,1.0,0
C0225,2025-10-25,7,86500.0,12357.142857142857,7,48.333333333333336,2.0,0
C0226,2025-10-23,7,52900.0,7557.142857142857,9,45.333333333333336,2.0,0
C0227,2025-10-06,5,58500.0,11700.0,26,66.25,2.0,0
C0228,2025-10-09,6,56600.0,9433.333333333334,23,46.8,1.0,0
C0229,2025-07-12,5,50300.0,10060.0,112,30.0,0.0,1
C0230,2025-08-02,8,50000.0,6250.0,91,29.142857142857142,0.0,1
C0231,2025-04-20,3,8500.0,2833.3333333333335,195,31.0,0.0,1
C0232,2025-07-23,10,108700.0,10870.0,101,21.11111111111111,0.0,1
C0233,2025-09-28,4,63200.0,15800.0,34,89.66666666666667,1.0,0
C0234,2025-08-29,6,51900.0,8650.0,64,34.8,2.0,0
C0235,2025-10-15,8,97700.0,12212.5,17,33.714285714285715,3.0,0
C0236,2025-10-16,2,9500.0,4750.0,16,6.0,2.0,0
C0237,2025-10-29,3,34200.0,11400.0,3,118.0,1.0,0
C0238,2025-08-23,7,79300.0,11328.57142857143,70,37.833333333333336,1.0,0
C0239,2025-10-13,4,33300.0,8325.0,19,64.0,2.0,0
C0240,2025-10-30,7,44300.0,6328.571428571428,2,46.333333333333336,3.0,0
C0241,2025-10-18,9,99900.0,11100.0,14,31.0,5.0,0
C0242,2025-10-10,12,149800.0,12483.333333333334,22,23.636363636363637,2.0,0
C0243,2025-09-15,3,22900.0,7633.333333333333,47,96.0,1.0,0
C0244,2025-10-05,3,32000.0,10666.666666666666,27,40.0,2.0,0
C0245,2025-06-08,3,45100.0,15033.333333333334,146,63.5,0.0,1
C0246,2025-10-03,7,77600.0,11085.714285714286,29,44.5,2.0,0
C0247,2025-10-13,8,58700.0,7337.5,19,40.57142857142857,3.0,0
C0248,2025-09-07,9,123900.0,13766.666666666666,55,30.25,2.0,0
C0249,2025-10-19,7,87400.0,12485.714285714286,13,39.333333333333336,2.0,0
C0250,2025-09-24,8,67800.0,8475.0,38,35.285714285714285,1.0,0
C0251,2025-08-20,7,61200.0,8742.857142857143,73,30.666666666666668,2.0,0
C0252,2025-09-15,6,94200.0,15700.0,47,46.6,3.0,0
C0253,2025-07-28,7,61900.0,8842.857142857143,96,32.833333333333336,0.0,1
C0254,2025-10-09,6,71800.0,11966.666666666666,23,53.2,1.0,0
C0255,2025-10-02,8,95000.0,11875.0,30,32.857142857142854,3.0,0
C0256,2025-10-06,5,54200.0,10840.0,26,46.75,2.0,0
C0257,2025-09-14,10,92100.0,9210.0,48,28.444444444444443,4.0,0
C0258,2025-09-01,6,52300.0,8716.666666666666,61,36.2,2.0,0
C0259,2025-09-12,5,58000.0,11600.0,50,56.5,1.0,0
C0260,2025-07-17,3,47600.0,15866.666666666666,107,44.5,0.0,1
C0261,2025-09-23,8,97500.0,12187.5,39,37.285714285714285,2.0,0
C0262,2025-10-26,10,85500.0,8550.0,6,29.666666666666668,5.0,0
C0263,2025-09-02,4,55000.0,13750.0,60,76.33333333333333,2.0,0
C0264,2025-10-21,4,49000.0,12250.0,11,86.33333333333333,2.0,0
C0265,2025-10-22,8,109400.0,13675.0,10,38.285714285714285,3.0,0
C0266,2025-10-09,5,53200.0,10640.0,23,59.25,1.0,0
C0267,2025-10-14,9,83200.0,9244.444444444445,18,25.25,2.0,0
C0268,2025-08-18,7,60800.0,8685.714285714286,75,36.666666666666664,1.0,0
C0269,2025-10-29,7,80000.0,11428.57142857143,3,41.5,2.0,0
C0270,2025-10-22,3,33600.0,11200.0,10,63.5,1.0,0
C0271,2025-09-12,7,82400.0,11771.42857142857,50,41.833333333333336,2.0,0
C0272,2025-10-26,5,41700.0,8340.0,6,32.75,3.0,0
C0273,2025-08-28,5,20900.0,4180.0,65,52.75,1.0,0
C0274,2025-05-28,6,50400.0,8400.0,157,28.8,0.0,1
C0275,2025-05-03,3,26800.0,8933.333333333334,182,26.5,0.0,1
C0276,2025-10-18,7,52900.0,7557.142857142857,14,47.833333333333336,3.0,0
C0277,2025-10-19,5,36900.0,7380.0,13,65.5,3.0,0
C0278,2025-08-27,6,77200.0,12866.666666666666,66,19.4,4.0,0
C0279,2025-10-27,5,47900.0,9580.0,5,15.0,5.0,0
C0280,2025-10-10,9,82100.0,9122.222222222223,22,29.25,3.0,0
C0281,2025-10-27,6,64500.0,10750.0,5,53.6,4.0,0
C0282,2025-06-09,6,71200.0,11866.666666666666,145,29.8,0.0,1
C0283,2025-09-22,3,15600.0,5200.0,40,61.5,2.0,0
C0284,2025-10-02,6,72000.0,12000.0,30,51.6,3.0,0
C0285,2025-10-21,9,85300.0,9477.777777777777,11,32.625,4.0,0
C0286,2025-10-20,5,34000.0,6800.0,12,69.75,1.0,0
C0287,2025-08-09,7,51000.0,7285.714285714285,84,36.166666666666664,1.0,0
C0288,2025-09-13,5,58400.0,11680.0,49,25.25,2.0,0
C0289,2025-09-29,10,104900.0,10490.0,33,29.77777777777778,3.0,0
C0290,2025-07-01,5,53200.0,10640.0,123,44.0,0.0,1
C0291,2025-10-02,8,76800.0,9600.0,30,34.714285714285715,3.0,0
C0292,2025-08-23,7,73200.0,10457.142857142857,70,37.666666666666664,2.0,0
C0293,2025-10-13,4,41100.0,10275.0,19,78.33333333333333,2.0,0
C0294,2025-08-21,6,70700.0,11783.333333333334,72,34.2,1.0,0
C0295,2025-09-08,4,47700.0,11925.0,54,35.333333333333336,2.0,0
C0296,2025-09-15,10,117600.0,11760.0,47,27.0,2.0,0
C0297,2025-10-10,6,72100.0,12016.666666666666,22,50.6,3.0,0
C0298,2025-09-25,7,59000.0,8428.57142857143,37,43.833333333333336,1.0,0
C0299,2025-10-01,5,63300.0,12660.0,31,57.75,1.0,0
C0300,2025-08-29,5,55900.0,11180.0,64,16.75,3.0,0
C0301,2025-09-20,8,85200.0,10650.0,42,33.142857142857146,1.0,0
C0302,2025-10-19,7,82200.0,11742.857142857143,13,44.166666666666664,2.0,0
C0303,2025-10-22,6,48900.0,8150.0,10,44.0,2.0,0
C0304,2025-07-01,5,69700.0,13940.0,123,40.0,0.0,1
C0305,2025-07-29,6,78500.0,13083.333333333334,95,37.6,0.0,1
C0306,2025-09-25,6,68800.0,11466.666666666666,37,48.4,2.0,0
C0307,2025-10-07,6,49000.0,8166.666666666667,25,52.2,2.0,0
C0308,2025-10-26,11,133300.0,12118.181818181818,6,29.7,4.0,0
C0309,2025-10-16,5,66900.0,13380.0,16,70.5,1.0,0
C0310,2025-10-09,7,77100.0,11014.285714285714,23,43.833333333333336,3.0,0
C0311,2025-08-12,5,59500.0,11900.0,81,40.25,1.0,0
C0312,2025-10-20,11,100200.0,9109.09090909091,12,28.7,3.0,0
C0313,2025-10-08,5,63700.0,12740.0,24,33.5,4.0,0
C0314,2025-09-08,5,39300.0,7860.0,54,55.25,1.0,0
C0315,2025-10-10,5,32600.0,6520.0,22,50.5,2.0,0
C0316,2025-06-01,3,31600.0,10533.333333333334,153,46.0,0.0,1
C0317,2025-10-30,10,108200.0,10820.0,2,22.11111111111111,7.0,0
C0318,2025-10-09,7,67900.0,9700.0,23,46.5,2.0,0
C0319,2025-09-20,6,69200.0,11533.333333333334,42,42.2,2.0,0
C0320,2025-09-12,6,65400.0,10900.0,50,45.0,3.0,0
C0321,2025-09-19,9,80800.0,8977.777777777777,43,29.875,1.0,0
C0322,2025-10-21,7,47800.0,6828.571428571428,11,44.5,1.0,0
C0323,2025-08-22,4,63900.0,15975.0,71,57.666666666666664,1.0,0
C0324,2025-07-21,4,64600.0,16150.0,103,35.666666666666664,0.0,1
C0325,2025-09-02,4,49400.0,12350.0,60,17.0,2.0,0
C0326,2025-09-30,7,74500.0,10642.857142857143,32,41.0,2.0,0
C0327,2025-09-29,6,78300.0,13050.0,33,38.2,2.0,0
C0328,2025-08-03,10,125800.0,12580.0,90,20.555555555555557,1.0,0
C0329,2025-08-26,9,107200.0,11911.111111111111,67,28.5,3.0,0
C0330,2025-10-05,5,55000.0,11000.0,27,65.0,3.0,0
C0331,2025-08-15,6,82200.0,13700.0,78,42.8,1.0,0
C0332,2025-09-23,5,49100.0,9820.0,39,61.25,3.0,0
C0333,2025-10-16,9,135600.0,15066.666666666666,16,35.75,3.0,0
C0334,2025-09-30,6,50700.0,8450.0,32,50.8,3.0,0
C0335,2025-10-07,2,14700.0,7350.0,25,94.0,1.0,0
C0336,2025-09-21,6,69400.0,11566.666666666666,41,49.0,3.0,0
C0337,2025-10-23,7,102000.0,14571.42857142857,9,39.833333333333336,4.0,0
C0338,2025-10-29,11,112500.0,10227.272727272728,3,29.4,5.0,0
C0339,2025-10-10,8,88000.0,11000.0,22,35.0,2.0,0
C0340,2025-08-05,9,101200.0,11244.444444444445,88,22.375,1.0,0
C0341,2025-10-01,5,38300.0,7660.0,31,35.5,2.0,0
C0342,2025-09-17,5,75000.0,15000.0,45,46.5,2.0,0
C0343,2025-08-18,6,86300.0,14383.333333333334,75,17.6,2.0,0
C0344,2025-10-25,6,50800.0,8466.666666666666,7,57.4,3.0,0
C0345,2025-10-14,4,64500.0,16125.0,18,82.66666666666667,3.0,0
C0346,2025-10-25,8,87000.0,10875.0,7,39.57142857142857,1.0,0
C0347,2025-09-20,6,71900.0,11983.333333333334,42,48.8,2.0,0
C0348,2025-09-04,5,40000.0,8000.0,58,43.75,1.0,0
C0349,2025-10-28,9,104300.0,11588.888888888889,4,31.375,3.0,0
C0350,2025-09-03,5,33900.0,6780.0,59,58.5,2.0,0
C0351,2025-07-13,4,43500.0,10875.0,111,52.666666666666664,0.0,1
C0352,2025-10-22,4,29900.0,7475.0,10,88.0,1.0,0
C0353,2025-03-21,3,42000.0,14000.0,225,23.0,0.0,1
C0354,2025-07-14,3,21000.0,7000.0,110,49.0,0.0,1
C0355,2025-08-17,10,113600.0,11360.0,76,20.0,1.0,0
C0356,2025-08-05,5,59900.0,11980.0,88,48.25,1.0,0
C0357,2025-10-17,7,72300.0,10328.57142857143,15,39.5,3.0,0
C0358,2025-10-26,5,39200.0,7840.0,6,73.0,2.0,0
C0359,2025-06-10,3,28200.0,9400.0,144,43.5,0.0,1
C0360,2025-01-10,1,10600.0,10600.0,295,41.833333333333336,0.0,1
C0361,2025-09-20,2,25200.0,12600.0,42,188.0,1.0,0
C0362,2025-10-25,6,59200.0,9866.666666666666,7,47.0,3.0,0
C0363,2025-10-16,7,84900.0,12128.57142857143,16,46.166666666666664,2.0,0
C0364,2025-10-12,7,74800.0,10685.714285714286,20,43.5,2.0,0
C0365,2025-06-02,5,48600.0,9720.0,152,32.25,0.0,1
C0366,2025-04-08,2,17100.0,8550.0,207,17.0,0.0,1
C0367,2025-09-14,3,54800.0,18266.666666666668,48,104.0,2.0,0
C0368,2025-07-07,4,40900.0,10225.0,117,53.0,0.0,1
C0369,2025-07-13,4,56200.0,14050.0,111,40.333333333333336,0.0,1
C0370,2025-10-04,8,89800.0,11225.0,28,36.42857142857143,2.0,0
